"","Risk of Failure to Appear_decile_score","Risk of Failure to Appear_raw_score","Risk of Failure to Appear_score_text","Risk of Recidivism_decile_score","Risk of Recidivism_raw_score","Risk of Recidivism_score_text","Risk of Violence_decile_score","Risk of Violence_raw_score","Risk of Violence_score_text","recid","recid_violent","recid_proPub","recid_violent_proPub","uid"
"1426","1","13","Low","2","-1.02","Low","3","-2.24","Low",0,0,0,0,"2867_2013-05-11"
"1427","3","18","Low","7","-0.08","Medium","4","-1.98","Low",0,0,0,0,"2868_2013-01-12"
"1428","5","23","Medium","1","-1.72","Low","1","-3.18","Low",0,0,0,0,"2869_2013-11-12"
"1429","1","15","Low","7","0.02","Medium","7","-1.44","Medium",1,1,1,1,"2870_2013-01-15"
"1430","3","18","Low","9","0.42","High","9","-0.81","High",1,1,1,0,"2871_2013-03-15"
"1431","8","28","High","9","0.6","High","6","-1.64","Medium",0,0,1,0,"2873_2013-11-22"
"1432","1","12","Low","2","-1.3","Low","2","-2.74","Low",1,0,1,0,"2874_2013-05-12"
"1433","6","25","Medium","9","0.47","High","6","-1.64","Medium",1,0,1,0,"2875_2014-02-04"
"1434","4","21","Low","3","-0.96","Low","1","-2.98","Low",0,0,0,0,"2879_2013-07-08"
"1435","5","22","Medium","3","-0.8","Low","2","-2.73","Low",0,0,0,0,"2880_2013-09-16"
"1436","8","29","High","8","0.29","High","9","-0.88","High",1,0,1,0,"2885_2013-10-17"
"1437","1","14","Low","1","-1.43","Low","2","-2.69","Low",0,0,0,0,"2887_2013-04-29"
"1438","3","18","Low","6","-0.2","Medium","9","-0.82","High",0,0,0,0,"2888_2013-04-29"
"1439","1","12","Low","5","-0.47","Medium","5","-1.84","Medium",1,0,1,1,"2891_2013-02-16"
"1440","3","19","Low","8","0.26","High","5","-1.76","Medium",0,0,0,0,"2893_2013-03-12"
"1441","5","23","Medium","7","0.08","Medium","4","-2.15","Low",1,0,1,0,"2897_2013-10-01"
"1442","1","13","Low","3","-1.17","Low","2","-2.62","Low",0,0,0,0,"2898_2013-06-05"
"1443","6","25","Medium","9","0.53","High","9","-0.83","High",1,0,1,0,"2901_2013-03-23"
"1444","3","19","Low","1","-1.43","Low","1","-3.26","Low",0,0,0,0,"2902_2013-10-09"
"1445","1","13","Low","6","-0.27","Medium","5","-1.83","Medium",1,1,1,0,"2907_2013-10-07"
"1446","1","14","Low","5","-0.37","Medium","6","-1.65","Medium",0,0,0,0,"2908_2013-08-27"
"1447","2","16","Low","4","-0.54","Low","1","-3.14","Low",0,0,0,0,"2910_2013-10-16"
"1448","3","18","Low","10","0.78","High","8","-1.11","High",0,0,0,0,"2913_2013-08-19"
"1449","2","16","Low","9","0.31","High","7","-1.38","Medium",0,0,0,0,"2914_2013-01-09"
"1450","5","22","Medium","4","-0.56","Low","2","-2.83","Low",1,0,1,0,"2915_2013-08-01"
"1451","3","20","Low","4","-0.65","Low","4","-2.23","Low",0,0,1,0,"2917_2013-04-15"
"1452","10","37","High","10","0.6","High","4","-2.08","Low",0,0,0,0,"2921_2013-12-15"
"1453","3","18","Low","1","-1.47","Low","1","-3.15","Low",0,0,0,0,"2923_2013-08-01"
"1454","1","11","Low","1","-2.55","Low","1","-4.16","Low",0,0,0,0,"2925_2013-11-06"
"1455","4","21","Low","3","-0.89","Low","5","-1.82","Medium",0,0,0,0,"2929_2013-05-24"
"1456","2","17","Low","10","0.72","High","8","-1.05","High",1,0,1,0,"2930_2013-01-12"
"1457","3","20","Low","2","-1.37","Low","1","-3.14","Low",0,0,0,0,"2931_2013-08-05"
"1458","1","14","Low","2","-1.17","Low","1","-3.17","Low",0,0,0,0,"2932_2014-02-06"
"1459","2","16","Low","3","-0.97","Low","4","-2.09","Low",1,0,1,0,"2934_2013-07-22"
"1460","1","13","Low","1","-2.87","Low","1","-4.46","Low",0,0,0,0,"2935_2013-07-10"
"1461","1","15","Low","4","-0.59","Low","3","-2.39","Low",0,0,0,0,"2936_2014-01-25"
"1462","1","13","Low","5","-0.48","Medium","9","-0.88","High",1,0,1,0,"2937_2013-08-26"
"1463","2","16","Low","1","-1.58","Low","2","-2.78","Low",0,0,0,0,"2938_2013-10-04"
"1464","3","19","Low","1","-2.2","Low","1","-3.7","Low",0,0,0,0,"2943_2013-07-17"
"1465","1","14","Low","3","-0.96","Low","2","-2.56","Low",0,0,0,0,"2946_2013-10-16"
"1466","3","20","Low","4","-0.54","Low","4","-2.01","Low",0,0,0,0,"2951_2013-11-28"
"1467","2","16","Low","3","-0.84","Low","5","-1.78","Medium",0,0,0,0,"2952_2013-03-07"
"1468","1","11","Low","4","-0.68","Low","7","-1.41","Medium",0,0,0,0,"2954_2013-02-06"
"1469","3","19","Low","2","-1.29","Low","3","-2.48","Low",0,0,0,0,"2955_2013-09-08"
"1470","8","29","High","5","-0.33","Medium","2","-2.61","Low",0,0,0,0,"2956_2013-11-16"
"1471","3","19","Low","7","0","Medium","7","-1.35","Medium",0,0,0,0,"2959_2013-01-17"
"1472","3","19","Low","5","-0.47","Medium","6","-1.62","Medium",1,0,1,0,"2961_2013-02-07"
"1473","1","13","Low","1","-1.77","Low","2","-2.66","Low",0,0,0,0,"2962_2013-08-29"
"1474","3","19","Low","4","-0.68","Low","3","-2.38","Low",0,0,0,0,"2963_2013-10-03"
"1475","2","16","Low","3","-0.78","Low","2","-2.65","Low",1,0,1,0,"2968_2013-08-12"
"1476","2","16","Low","2","-1.04","Low","1","-3.21","Low",1,0,0,0,"2970_2013-02-10"
"1477","1","13","Low","1","-1.95","Low","1","-3.57","Low",0,0,0,0,"2972_2014-02-23"
"1478","5","22","Medium","5","-0.44","Medium","2","-2.77","Low",1,1,1,1,"2974_2013-08-01"
"1479","3","19","Low","5","-0.45","Medium","5","-1.82","Medium",0,0,1,0,"2976_2013-04-16"
"1480","1","15","Low","9","0.5","High","9","-0.82","High",0,0,0,0,"2978_2013-10-18"
"1481","10","34","High","8","0.17","High","6","-1.73","Medium",0,0,0,0,"2979_2013-08-05"
"1482","9","32","High","9","0.31","High","2","-2.68","Low",1,0,1,0,"2982_2013-01-04"
"1483","1","15","Low","4","-0.95","Low","3","-2.35","Low",0,0,0,0,"2983_2014-01-19"
"1484","1","13","Low","1","-2.67","Low","1","-4.21","Low",0,0,0,0,"2990_2013-12-09"
"1485","3","20","Low","3","-0.82","Low","1","-3.67","Low",1,0,1,0,"2991_2013-11-15"
"1486","1","13","Low","1","-2.14","Low","1","-3.63","Low",0,0,0,0,"2992_2014-03-25"
"1487","1","14","Low","4","-0.6","Low","5","-1.8","Medium",0,0,0,0,"2996_2013-04-20"
"1488","9","32","High","9","0.34","High","8","-1.11","High",1,1,1,0,"2997_2013-04-07"
"1489","10","34","High","9","0.54","High","7","-1.32","Medium",1,1,NA,NA,"2997_2013-10-18"
"1490","2","16","Low","4","-1.02","Low","4","-2.13","Low",0,0,0,0,"2998_2013-09-04"
"1491","2","16","Low","4","-0.72","Low","2","-2.89","Low",0,0,0,0,"3003_2013-08-18"
"1492","1","12","Low","1","-2.63","Low","1","-3.61","Low",0,0,0,0,"3010_2013-10-03"
"1493","1","14","Low","1","-1.87","Low","1","-3.85","Low",1,0,1,0,"3015_2013-12-11"
"1494","7","26","Medium","2","-1.29","Low","1","-3.65","Low",1,0,1,0,"3019_2014-02-11"
"1495","8","28","High","9","0.53","High","4","-2.01","Low",0,0,0,0,"3020_2013-02-26"
"1496","1","15","Low","5","-0.42","Medium","6","-1.7","Medium",0,0,0,0,"3022_2013-01-17"
"1497","3","19","Low","9","0.42","High","7","-1.42","Medium",1,1,1,0,"3023_2013-05-01"
"1498","2","17","Low","5","-0.38","Medium","4","-2.1","Low",0,0,0,0,"3025_2013-11-19"
"1499","3","20","Low","1","-1.39","Low","1","-3.25","Low",1,0,1,0,"3027_2013-01-06"
"1500","3","18","Low","4","-0.57","Low","2","-2.8","Low",0,0,0,0,"3032_2013-02-04"
"1501","3","19","Low","6","-0.21","Medium","4","-2.09","Low",0,0,1,0,"3033_2013-03-11"
"1502","2","17","Low","1","-1.76","Low","2","-2.73","Low",0,0,0,0,"3034_2013-05-01"
"1503","1","15","Low","4","-0.55","Low","4","-2.01","Low",0,0,0,0,"3035_2013-01-10"
"1504","3","18","Low","1","-1.74","Low","1","-3.12","Low",0,0,0,0,"3036_2014-03-20"
"1505","2","16","Low","3","-0.92","Low","1","-3.22","Low",1,1,1,1,"3041_2013-01-28"
"1506","7","28","Medium","9","0.6","High","6","-1.6","Medium",0,0,0,0,"3045_2013-11-01"
"1507","1","12","Low","4","-0.6","Low","3","-2.33","Low",0,0,0,0,"3046_2013-08-09"
"1508","1","14","Low","9","0.37","High","7","-1.4","Medium",0,0,0,0,"3050_2013-08-10"
"1509","1","14","Low","1","-2.39","Low","1","-3.88","Low",0,0,0,0,"3051_2013-01-18"
"1510","1","13","Low","2","-1.21","Low","2","-2.88","Low",0,0,0,0,"3053_2013-09-16"
"1511","7","26","Medium","2","-1.24","Low","1","-3.88","Low",0,0,0,0,"3055_2013-01-24"
"1512","2","17","Low","3","-0.89","Low","4","-2.19","Low",0,0,0,0,"3056_2014-03-05"
"1513","1","13","Low","5","-0.4","Medium","4","-2.13","Low",0,0,1,0,"3058_2013-02-17"
"1514","1","15","Low","2","-1.01","Low","4","-2.14","Low",0,0,0,0,"3059_2013-11-05"
"1515","2","17","Low","1","-2.05","Low","1","-3.74","Low",0,0,0,0,"3064_2014-02-02"
"1516","1","12","Low","4","-0.87","Low","4","-2.01","Low",0,0,0,0,"3066_2013-04-01"
"1517","4","21","Low","7","0.02","Medium","3","-2.33","Low",0,0,0,0,"3068_2013-03-01"
"1518","1","15","Low","2","-1.05","Low","1","-3.16","Low",0,0,0,0,"3069_2013-05-29"
"1519","4","21","Low","1","-1.5","Low","1","-2.95","Low",0,0,0,0,"3074_2013-01-29"
"1520","1","12","Low","2","-1.54","Low","2","-2.91","Low",0,0,0,0,"3078_2013-08-12"
"1521","1","14","Low","2","-1.1","Low","2","-2.92","Low",0,0,1,0,"3081_2014-02-18"
"1522","3","19","Low","4","-0.84","Low","1","-3.31","Low",0,0,0,0,"3084_2013-12-12"
"1523","1","12","Low","5","-0.45","Medium","7","-1.4","Medium",0,0,0,0,"3085_2013-05-02"
"1524","10","36","High","10","1.01","High","6","-1.61","Medium",1,1,1,0,"3086_2013-01-14"
"1525","1","13","Low","4","-0.94","Low","4","-2.02","Low",0,0,0,0,"3089_2013-04-14"
"1526","1","13","Low","6","-0.3","Medium","6","-1.56","Medium",0,0,0,0,"3090_2013-01-27"
"1527","1","13","Low","5","-0.8","Medium","4","-2.08","Low",0,0,0,0,"3093_2013-08-20"
"1528","6","24","Medium","10","0.82","High","9","-0.96","High",1,0,1,0,"3094_2013-03-13"
"1529","1","11","Low","1","-2.31","Low","1","-3.95","Low",0,0,1,0,"3096_2013-08-18"
"1530","1","14","Low","1","-1.79","Low","1","-3.17","Low",0,0,0,0,"3104_2013-04-30"
"1531","3","18","Low","1","-2.06","Low","1","-3.71","Low",0,0,0,0,"3107_2014-03-28"
"1532","3","20","Low","3","-0.78","Low","3","-2.54","Low",0,0,0,0,"3108_2013-02-08"
"1533","2","16","Low","8","0.19","High","2","-2.59","Low",0,0,1,0,"3112_2013-05-22"
"1534","7","26","Medium","8","0.11","High","2","-2.83","Low",1,1,1,0,"3114_2014-01-23"
"1535","4","21","Low","10","0.77","High","10","-0.47","High",1,1,1,0,"3116_2013-01-18"
"1536","4","21","Low","10","0.83","High","10","-0.55","High",0,0,NA,NA,"3116_2013-04-06"
"1537","1","15","Low","4","-0.72","Low","3","-2.51","Low",0,0,1,0,"3118_2013-04-27"
"1538","1","12","Low","4","-0.63","Low","6","-1.64","Medium",1,0,1,0,"3120_2013-10-27"
"1539","5","23","Medium","4","-0.53","Low","1","-3.24","Low",0,0,1,0,"3122_2013-05-19"
"1540","3","18","Low","5","-0.49","Medium","2","-2.8","Low",1,0,1,0,"3131_2014-01-10"
"1541","1","15","Low","4","-0.56","Low","6","-1.55","Medium",1,1,1,1,"3134_2014-01-31"
"1542","1","15","Low","1","-1.93","Low","1","-3.28","Low",0,0,0,0,"3136_2014-02-17"
"1543","3","19","Low","6","-0.13","Medium","2","-2.75","Low",1,0,1,0,"3138_2013-08-14"
"1544","1","14","Low","7","-0.1","Medium","5","-1.77","Medium",0,0,0,0,"3139_2013-12-07"
"1545","10","41","High","10","0.65","High","4","-2.03","Low",0,0,0,0,"3142_2013-12-27"
"1546","4","21","Low","6","-0.18","Medium","6","-1.7","Medium",0,0,0,0,"3147_2013-09-21"
"1547","5","22","Medium","8","-0.12","High","4","-2.03","Low",0,0,0,0,"3152_2013-12-11"
"1548","8","28","High","3","-0.82","Low","2","-2.86","Low",0,0,0,0,"3153_2013-04-22"
"1549","3","18","Low","7","-0.01","Medium","2","-2.59","Low",0,0,0,0,"3154_2013-09-14"
"1550","2","17","Low","1","-1.39","Low","2","-2.7","Low",0,0,0,0,"3156_2013-10-04"
"1551","5","22","Medium","4","-0.61","Low","5","-1.86","Medium",0,0,0,0,"3157_2013-01-15"
"1552","1","15","Low","9","0.33","High","8","-1.15","High",0,0,0,0,"3158_2013-03-20"
"1553","3","19","Low","2","-1.33","Low","1","-3.11","Low",0,0,0,0,"3159_2013-12-23"
"1554","1","15","Low","6","-0.2","Medium","6","-1.66","Medium",1,0,1,0,"3160_2013-04-06"
"1555","2","16","Low","8","0.09","High","6","-1.62","Medium",0,0,NA,NA,"3160_2013-04-13"
"1556","1","11","Low","1","-1.58","Low","1","-3.04","Low",0,0,0,0,"3161_2013-01-29"
"1557","7","26","Medium","3","-0.8","Low","3","-2.48","Low",0,0,0,0,"3163_2013-09-09"
"1558","3","19","Low","5","-0.51","Medium","3","-2.33","Low",1,0,1,0,"3165_2013-10-13"
"1559","1","11","Low","1","-2.35","Low","1","-3.94","Low",0,0,0,0,"3169_2013-12-02"
"1560","1","12","Low","5","-0.49","Medium","8","-1.08","High",1,1,1,1,"3174_2014-02-22"
"1561","1","12","Low","1","-2.43","Low","1","-3.88","Low",1,1,1,0,"3175_2014-03-20"
"1562","2","16","Low","5","-0.39","Medium","2","-2.6","Low",0,0,0,0,"3176_2013-10-19"
"1563","1","12","Low","7","0.02","Medium","6","-1.58","Medium",1,1,1,1,"3181_2013-02-01"
"1564","3","18","Low","7","0.03","Medium","6","-1.71","Medium",0,0,NA,NA,"3181_2013-08-12"
"1565","1","15","Low","5","-0.43","Medium","3","-2.24","Low",0,0,0,0,"3182_2013-01-03"
"1566","4","21","Low","4","-0.54","Low","3","-2.49","Low",1,0,1,0,"3183_2014-02-15"
"1567","1","12","Low","3","-0.85","Low","5","-1.76","Medium",0,0,0,0,"3190_2013-01-12"
"1568","1","11","Low","1","-1.91","Low","1","-3.34","Low",0,0,0,0,"3192_2013-04-29"
"1569","1","15","Low","10","0.89","High","9","-0.72","High",0,0,0,0,"3196_2013-12-01"
"1570","1","13","Low","2","-1.53","Low","2","-2.68","Low",0,0,0,0,"3197_2013-01-22"
"1571","1","13","Low","6","-0.19","Medium","6","-1.5","Medium",0,0,0,0,"3198_2013-01-31"
"1572","1","11","Low","1","-1.74","Low","1","-3.17","Low",1,1,1,1,"3200_2013-01-21"
"1573","9","29","High","8","0.04","High","5","-1.83","Medium",0,0,0,0,"3203_2013-10-09"
"1574","1","13","Low","1","-2.18","Low","1","-3.9","Low",0,0,0,0,"3205_2013-01-22"
"1575","1","12","Low","1","-2.58","Low","1","-3.64","Low",0,0,0,0,"3207_2013-07-10"
"1576","4","21","Low","2","-1.45","Low","2","-2.82","Low",0,0,0,0,"3208_2014-01-12"
"1577","1","14","Low","6","-0.25","Medium","5","-1.75","Medium",0,0,1,1,"3209_2013-04-26"
"1578","3","20","Low","1","-1.41","Low","1","-3.63","Low",0,0,0,0,"3215_2013-11-16"
"1579","1","13","Low","2","-1.17","Low","3","-2.47","Low",0,0,0,0,"3217_2014-03-24"
"1580","1","14","Low","4","-0.53","Low","2","-2.59","Low",0,0,0,0,"3218_2014-03-15"
"1581","1","15","Low","5","-0.49","Medium","6","-1.62","Medium",0,0,0,0,"3229_2013-02-09"
"1582","4","21","Low","4","-0.82","Low","3","-2.26","Low",0,0,0,0,"3230_2014-01-07"
"1583","1","12","Low","1","-2.37","Low","1","-3.9","Low",0,0,0,0,"3232_2014-03-22"
"1584","8","29","High","10","0.64","High","7","-1.49","Medium",1,1,1,1,"3236_2014-02-22"
"1585","2","16","Low","1","-1.89","Low","1","-3.25","Low",0,0,0,0,"3237_2013-12-03"
"1586","2","16","Low","7","-0.34","Medium","3","-2.31","Low",0,0,0,0,"3240_2013-12-08"
"1587","1","13","Low","7","-0.12","Medium","5","-1.88","Medium",0,0,0,0,"3242_2013-01-16"
"1588","1","15","Low","3","-0.99","Low","2","-2.92","Low",0,0,0,0,"3246_2013-11-20"
"1589","2","17","Low","1","-1.94","Low","1","-4.2","Low",1,0,1,0,"3248_2014-03-26"
"1590","8","29","High","2","-1.34","Low","2","-2.81","Low",1,0,0,0,"3251_2014-04-24"
"1591","1","15","Low","2","-1.04","Low","2","-2.92","Low",0,0,1,0,"3255_2013-10-01"
"1592","10","39","High","10","0.76","High","9","-0.95","High",0,0,1,0,"3259_2013-10-16"
"1593","8","28","High","6","-0.26","Medium","5","-1.81","Medium",1,1,1,0,"3260_2013-03-20"
"1594","2","16","Low","1","-2.09","Low","1","-3.66","Low",0,0,0,0,"3261_2013-09-10"
"1595","3","18","Low","6","-0.39","Medium","4","-2.12","Low",1,1,1,1,"3262_2013-10-17"
"1596","1","11","Low","1","-1.96","Low","1","-3.55","Low",0,0,0,0,"3265_2013-04-28"
"1597","1","13","Low","2","-1.24","Low","3","-2.53","Low",0,0,0,0,"3267_2013-08-03"
"1598","2","16","Low","7","-0.11","Medium","4","-2","Low",1,0,1,0,"3268_2013-03-25"
"1599","7","27","Medium","10","0.87","High","8","-1.23","High",1,0,1,0,"3272_2013-08-10"
"1600","1","14","Low","6","-0.13","Medium","6","-1.56","Medium",0,0,0,0,"3274_2013-06-20"
"1601","3","19","Low","5","-0.73","Medium","3","-2.38","Low",1,0,1,0,"3280_2013-11-09"
"1602","2","16","Low","4","-0.56","Low","4","-2.15","Low",1,1,1,1,"3281_2013-04-20"
"1603","3","19","Low","5","-0.38","Medium","4","-2.15","Low",1,1,NA,NA,"3281_2013-09-16"
"1604","6","25","Medium","5","-0.43","Medium","4","-2.15","Low",1,1,NA,NA,"3281_2014-01-19"
"1605","1","15","Low","1","-2.77","Low","1","-4.4","Low",0,0,0,0,"3283_2014-02-09"
"1606","3","20","Low","9","0.38","High","4","-2.19","Low",1,0,1,0,"3284_2013-08-24"
"1607","9","33","High","5","-0.42","Medium","7","-1.27","Medium",1,0,1,0,"3285_2013-04-06"
"1608","8","28","High","6","-0.27","Medium","5","-1.84","Medium",0,0,0,0,"3289_2013-02-19"
"1609","3","19","Low","4","-0.56","Low","2","-2.59","Low",0,0,0,0,"3290_2013-03-13"
"1610","1","14","Low","2","-1.05","Low","3","-2.4","Low",1,0,1,0,"3291_2013-01-17"
"1611","2","16","Low","2","-1.19","Low","3","-2.48","Low",1,0,NA,NA,"3291_2013-04-04"
"1612","4","21","Low","3","-0.9","Low","3","-2.29","Low",0,0,NA,NA,"3291_2014-02-13"
"1613","3","18","Low","4","-0.61","Low","1","-3.06","Low",0,0,0,0,"3292_2013-10-10"
"1614","1","11","Low","3","-1.27","Low","2","-2.73","Low",0,0,0,0,"3293_2013-07-15"
"1615","1","14","Low","5","-0.77","Medium","7","-1.49","Medium",1,1,1,0,"3294_2013-12-10"
"1616","1","13","Low","1","-2.11","Low","1","-3.51","Low",0,0,0,0,"3295_2013-01-11"
"1617","2","16","Low","5","-0.47","Medium","5","-1.8","Medium",0,0,0,0,"3298_2013-01-26"
"1618","1","13","Low","2","-1.55","Low","2","-2.9","Low",0,0,0,0,"3301_2013-10-02"
"1619","1","12","Low","2","-1.29","Low","3","-2.4","Low",0,0,0,0,"3303_2013-04-11"
"1620","1","15","Low","2","-1.07","Low","1","-3.17","Low",0,0,0,0,"3304_2013-02-16"
"1621","2","16","Low","3","-0.97","Low","2","-2.88","Low",0,0,0,0,"3306_2013-03-10"
"1622","3","20","Low","3","-0.83","Low","5","-1.86","Medium",0,0,0,0,"3310_2013-04-17"
"1623","3","19","Low","1","-1.73","Low","1","-3.78","Low",0,0,0,0,"3312_2013-01-13"
"1624","3","18","Low","4","-0.59","Low","3","-2.41","Low",0,0,0,0,"3314_2013-09-05"
"1625","1","11","Low","1","-2.67","Low","1","-4.27","Low",0,0,0,0,"3315_2013-10-05"
"1626","8","27","High","8","0.11","High","7","-1.4","Medium",1,0,1,0,"3316_2013-08-19"
"1627","5","23","Medium","6","-0.17","Medium","1","-3.24","Low",0,0,0,0,"3318_2013-03-07"
"1628","1","11","Low","2","-1.56","Low","1","-3.34","Low",0,0,0,0,"3319_2013-12-25"
"1629","3","19","Low","4","-0.62","Low","5","-1.89","Medium",0,0,0,0,"3320_2013-12-17"
"1630","5","22","Medium","8","0.14","High","8","-1.06","High",1,0,1,0,"3323_2013-11-06"
"1631","3","20","Low","1","-2.55","Low","1","-4.16","Low",0,0,0,0,"3324_2013-02-12"
"1632","7","27","Medium","10","0.95","High","9","-0.95","High",1,0,0,0,"3326_2013-01-03"
"1633","4","21","Low","4","-0.63","Low","1","-3.2","Low",1,0,1,0,"3329_2013-10-07"
"1634","5","24","Medium","10","1.09","High","10","-0.59","High",1,0,1,0,"3331_2013-01-12"
"1635","1","15","Low","1","-2.34","Low","1","-3.92","Low",0,0,0,0,"3332_2013-09-05"
"1636","1","11","Low","3","-1.26","Low","2","-2.6","Low",1,0,1,0,"3335_2013-02-25"
"1637","2","17","Low","6","-0.24","Medium","5","-1.81","Medium",0,0,0,0,"3338_2013-12-16"
"1638","2","17","Low","7","-0.1","Medium","5","-1.81","Medium",0,0,NA,NA,"3338_2014-01-10"
"1639","1","13","Low","1","-2.39","Low","1","-4.1","Low",0,0,0,0,"3339_2013-02-22"
"1640","1","15","Low","6","-0.26","Medium","5","-1.95","Medium",0,0,0,0,"3341_2013-05-15"
"1641","3","20","Low","7","0.04","Medium","3","-2.31","Low",1,1,1,1,"3344_2013-04-01"
"1642","1","15","Low","3","-1.14","Low","2","-2.93","Low",0,0,0,0,"3345_2013-01-26"
"1643","3","19","Low","8","0.3","High","10","-0.41","High",0,0,0,0,"3346_2013-03-18"
"1644","3","18","Low","3","-0.96","Low","1","-3.14","Low",1,0,1,0,"3349_2013-05-26"
"1645","1","12","Low","1","-1.55","Low","2","-2.91","Low",0,0,0,0,"3350_2013-11-05"
"1646","1","11","Low","2","-1.24","Low","2","-2.63","Low",1,0,1,0,"3354_2013-09-06"
"1647","3","18","Low","4","-0.71","Low","1","-3.02","Low",0,0,0,0,"3357_2014-03-29"
"1648","2","16","Low","1","-1.52","Low","1","-3.33","Low",0,0,0,0,"3358_2014-03-11"
"1649","4","21","Low","7","0.03","Medium","1","-2.99","Low",1,0,1,0,"3360_2013-09-04"
"1650","1","13","Low","1","-1.81","Low","1","-3.35","Low",1,1,1,0,"3363_2014-02-12"
"1651","1","15","Low","9","0.58","High","8","-1.02","High",1,0,1,0,"3369_2013-11-15"
"1652","1","12","Low","3","-0.77","Low","5","-1.79","Medium",0,0,0,0,"3371_2013-08-22"
"1653","1","11","Low","1","-2.33","Low","1","-3.86","Low",0,0,0,0,"3374_2014-03-13"
"1654","5","23","Medium","7","-0.07","Medium","1","-3.15","Low",1,1,1,0,"3375_2013-08-22"
"1655","3","18","Low","1","-1.78","Low","1","-3.3","Low",0,0,0,0,"3376_2013-12-15"
"1656","1","13","Low","1","-1.66","Low","1","-3.26","Low",0,0,0,0,"3377_2013-09-28"
"1657","1","13","Low","6","-0.14","Medium","6","-1.6","Medium",0,0,0,0,"3378_2014-03-20"
"1658","1","11","Low","4","-0.64","Low","6","-1.56","Medium",0,0,0,0,"3379_2013-02-17"
"1659","2","16","Low","4","-0.94","Low","2","-2.7","Low",0,0,0,0,"3380_2013-09-30"
"1660","1","14","Low","8","0.3","High","9","-0.79","High",0,0,0,0,"3384_2013-09-05"
"1661","2","17","Low","5","-0.32","Medium","4","-2.09","Low",1,0,1,1,"3386_2013-11-08"
"1662","5","22","Medium","1","-1.98","Low","1","-3.07","Low",1,1,1,1,"3387_2013-06-03"
"1663","8","28","High","1","-2.36","Low","1","-3.98","Low",0,0,0,0,"3390_2013-08-06"
"1664","3","19","Low","8","-0.1","High","6","-1.52","Medium",1,1,1,0,"3391_2013-03-25"
"1665","1","15","Low","1","-2.4","Low","1","-3.91","Low",1,0,0,0,"3392_2013-03-09"
"1666","5","22","Medium","5","-0.38","Medium","3","-2.49","Low",0,0,0,0,"3396_2014-02-16"
"1667","1","15","Low","10","0.88","High","10","-0.38","High",1,0,1,0,"3398_2013-04-19"
"1668","6","25","Medium","10","0.64","High","5","-1.85","Medium",0,0,0,0,"3399_2013-02-21"
"1669","3","20","Low","3","-0.79","Low","2","-2.92","Low",0,0,0,0,"3400_2014-03-24"
"1670","2","16","Low","1","-1.86","Low","1","-3.69","Low",1,0,1,0,"3401_2013-12-02"
"1671","3","18","Low","4","-0.66","Low","3","-2.51","Low",1,0,1,0,"3403_2013-02-07"
"1672","2","17","Low","8","0.28","High","9","-0.96","High",1,1,1,1,"3406_2014-01-10"
"1673","3","18","Low","1","-2.37","Low","1","-3.95","Low",0,0,0,0,"3407_2014-02-10"
"1674","1","13","Low","6","-0.21","Medium","8","-1","High",0,0,0,0,"3409_2014-01-10"
"1675","1","12","Low","2","-1.58","Low","2","-2.78","Low",0,0,0,0,"3411_2014-01-09"
"1676","1","15","Low","2","-1.21","Low","3","-2.29","Low",0,0,0,0,"3412_2013-02-04"
"1677","3","19","Low","5","-0.44","Medium","4","-2.06","Low",1,0,1,0,"3415_2013-04-12"
"1678","3","20","Low","6","-0.28","Medium","3","-2.3","Low",0,0,0,0,"3416_2013-11-07"
"1679","1","13","Low","2","-1.1","Low","2","-2.81","Low",1,1,1,1,"3418_2013-10-30"
"1680","2","17","Low","2","-1.16","Low","1","-3.39","Low",0,0,0,0,"3420_2013-05-06"
"1681","1","14","Low","3","-0.81","Low","3","-2.41","Low",0,0,0,0,"3421_2013-03-21"
"1682","3","20","Low","5","-0.47","Medium","1","-3.07","Low",1,1,1,0,"3422_2013-10-16"
"1683","1","13","Low","2","-1.64","Low","1","-3.13","Low",0,0,0,0,"3423_2013-04-15"
"1684","6","25","Medium","10","0.72","High","9","-0.83","High",0,0,1,0,"3425_2013-01-30"
"1685","1","13","Low","1","-2.21","Low","1","-3.56","Low",0,0,0,0,"3427_2014-03-16"
"1686","1","14","Low","6","-0.17","Medium","9","-0.67","High",1,1,1,0,"3429_2013-01-19"
"1687","1","14","Low","2","-1.39","Low","2","-2.62","Low",0,0,0,0,"3431_2013-01-14"
"1688","1","13","Low","6","-0.54","Medium","7","-1.48","Medium",0,0,0,0,"3437_2013-08-27"
"1689","1","13","Low","6","-0.29","Medium","6","-1.55","Medium",1,1,1,0,"3438_2013-04-20"
"1690","1","14","Low","7","-0.09","Medium","6","-1.68","Medium",0,0,NA,NA,"3438_2013-10-12"
"1691","1","14","Low","1","-1.68","Low","1","-3.15","Low",0,0,0,0,"3439_2013-02-24"
"1692","9","33","High","7","0.03","Medium","2","-2.72","Low",1,1,1,0,"3441_2013-09-21"
"1693","4","21","Low","2","-1.16","Low","1","-3.34","Low",1,0,1,0,"3444_2013-11-23"
"1694","4","21","Low","3","-0.77","Low","4","-2.14","Low",0,0,0,0,"3445_2013-10-04"
"1695","6","24","Medium","7","-0.16","Medium","3","-2.55","Low",1,0,1,0,"3448_2013-12-09"
